seed,ladder_step,lam,warm_start,source_lam,K_re,K_im,abs_K,std_err,final_loss,ess_n,K_mehler_re,K_mehler_im,epochs_used,N,T,m,omega,eps,rank,x_i,x_f,time_s,weight_file,xf_from_filename,source_csv
45,0,0,N,,-2.9460264583172419e-01,-3.0481854187783775e-01,4.2391633892029151e-01,4.359602e-08,7.783310e-10,1.000000,-3.6192704155485067e-01,-2.4113849137405927e-01,15000,16,1,1.0,1,0.01,16,0,3.75,282.1,warm_start_weights_vary_end_points/seed45_step00_lam0.0000_xi0_xf3.75.pt,3.75,warm_start_scan_xi0_xf3.75.csv
45,1,0.1,Y,0,-4.2031454331622531e-01,1.0163169431989882e-01,4.3242723851933795e-01,6.607591e-06,1.885810e-05,0.999977,-3.6192704155485067e-01,-2.4113849137405927e-01,9000,16,1,1.0,1,0.01,16,0,3.75,168.1,warm_start_weights_vary_end_points/seed45_step01_lam0.1000_xi0_xf3.75.pt,3.75,warm_start_scan_xi0_xf3.75.csv
42,0,0,N,,-4.8093530045043416e-02,-4.2010228027465724e-01,4.2284620552177143e-01,4.843476e-09,1.529013e-11,1.000000,-1.5363019665698835e-01,-4.0686203817257144e-01,15000,16,1,1.0,1,0.01,16,0,4,281.6,warm_start_weights_vary_end_points/seed42_step00_lam0.0000_xi0_xf4.0.pt,4.0,warm_start_scan_xi0_xf4.0.csv
42,1,0.1,Y,0,-4.4629811688809462e-01,-7.8637387913993995e-03,4.4636739075075671e-01,8.366699e-06,3.076920e-05,0.999967,-1.5363019665698835e-01,-4.0686203817257144e-01,9000,16,1,1.0,1,0.01,16,0,4,168.4,warm_start_weights_vary_end_points/seed42_step01_lam0.1000_xi0_xf4.0.pt,4.0,warm_start_scan_xi0_xf4.0.csv
45,0,0,N,,4.8900937363792217e-02,4.1962309179689516e-01,4.2246282776623439e-01,5.393896e-08,1.430663e-09,1.000000,-1.5363019665698835e-01,-4.0686203817257144e-01,15000,16,1,1.0,1,0.01,16,0,4,281.0,warm_start_weights_vary_end_points/seed45_step00_lam0.0000_xi0_xf4.0.pt,4.0,warm_start_scan_xi0_xf4.0.csv
45,1,0.1,Y,0,4.7752936970993148e-01,-4.2345286890115061e-02,4.7940319383309343e-01,6.403269e-06,1.631372e-05,0.999984,-1.5363019665698835e-01,-4.0686203817257144e-01,9000,16,1,1.0,1,0.01,16,0,4,166.9,warm_start_weights_vary_end_points/seed45_step01_lam0.1000_xi0_xf4.0.pt,4.0,warm_start_scan_xi0_xf4.0.csv
42,0,0,N,,2.3018575997362711e-01,-3.5252483878800850e-01,4.2102166934392776e-01,5.237819e-09,1.639412e-11,1.000000,1.2898390421313691e-01,-4.1533373073317825e-01,15000,16,1,1.0,1,0.01,16,0,4.25,279.7,warm_start_weights_vary_end_points/seed42_step00_lam0.0000_xi0_xf4.25.pt,4.25,warm_start_scan_xi0_xf4.25.csv
42,1,0.1,Y,0,-4.6774027421535491e-01,-9.8115799658485631e-02,4.7792015469707855e-01,9.863919e-06,3.426039e-05,0.999962,1.2898390421313691e-01,-4.1533373073317825e-01,9000,16,1,1.0,1,0.01,16,0,4.25,170.1,warm_start_weights_vary_end_points/seed42_step01_lam0.1000_xi0_xf4.25.pt,4.25,warm_start_scan_xi0_xf4.25.csv
45,0,0,N,,2.3027531569104925e-01,-3.5265391078215813e-01,4.2117870530994650e-01,4.138998e-09,1.067723e-11,1.000000,1.2898390421313691e-01,-4.1533373073317825e-01,15000,16,1,1.0,1,0.01,16,0,4.25,278.7,warm_start_weights_vary_end_points/seed45_step00_lam0.0000_xi0_xf4.25.pt,4.25,warm_start_scan_xi0_xf4.25.csv
45,1,0.1,Y,0,-4.5761336551121262e-01,-1.0667465019353238e-01,4.6988240368033701e-01,1.028295e-05,4.266013e-05,0.999953,1.2898390421313691e-01,-4.1533373073317825e-01,9000,16,1,1.0,1,0.01,16,0,4.25,166.4,warm_start_weights_vary_end_points/seed45_step01_lam0.1000_xi0_xf4.25.pt,4.25,warm_start_scan_xi0_xf4.25.csv
42,0,0,N,,4.0577387259999909e-01,-1.0646765118448101e-01,4.1950899446083467e-01,6.025861e-09,1.883980e-11,1.000000,3.6675359306684424e-01,-2.3373223441229379e-01,15000,16,1,1.0,1,0.01,16,0,4.5,281.4,warm_start_weights_vary_end_points/seed42_step00_lam0.0000_xi0_xf4.5.pt,4.5,warm_start_scan_xi0_xf4.5.csv
